Data Provided By MyFoodData.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Click ""File"" then ""Download as"" or ""Select All and Copy Paste"" to get the data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you have a google account click ""File"" then ""Make a Copy"" to edit your own copy of the data. ",,,,"All Serving Sizes are 100 Grams. See the ""Read Me"" tab for more information. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Name,Food Group,Calories,Fat (g),Protein (g),Carbohydrate (g),Sugars (g),Fiber (g),Cholesterol (mg),Saturated Fats (g),Calcium (mg),"Iron, Fe (mg)","Potassium, K (mg)",Magnesium (mg),"Vitamin A, IU (IU)","Vitamin A, RAE (mcg)",Vitamin C (mg),Vitamin B-12 (mcg),Vitamin D (mcg),Vitamin E (Alpha-Tocopherol) (mg),Added Sugar (g),Net-Carbs (g),Water (g),Omega 3s (mg),Omega 6s (mg),PRAL score,Trans Fatty Acids (g),Soluble Fiber (g),Insoluble Fiber (g),Sucrose (g),Glucose (Dextrose) (g),Fructose (g),Lactose (g),Maltose (g),Galactose (g),Starch (g),Total sugar alcohols (g),"Phosphorus, P (mg)",Sodium (mg),"Zinc, Zn (mg)","Copper, Cu (mg)",Manganese (mg),"Selenium, Se (mcg)","Fluoride, F (mcg)",Molybdenum (mcg),Chlorine (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Pantothenic acid (B5) (mg),Vitamin B6 (mg),Biotin (B7) (mcg),Folate (B9) (mcg),Folic acid (mcg),Food Folate (mcg),Folate DFE (mcg),Choline (mg),Betaine (mg),Retinol (mcg),"Carotene, beta (mcg)","Carotene, alpha (mcg)",Lycopene (mcg),Lutein + Zeaxanthin (mcg),Vitamin D2 (ergocalciferol) (mcg),Vitamin D3 (cholecalciferol) (mcg),Vitamin D (IU) (IU),Vitamin K (mcg),Dihydrophylloquinone (mcg),Menaquinone-4 (mcg),"Fatty acids, total monounsaturated (mg)","Fatty acids, total polyunsaturated (mg)","18:3 n-3 c,c,c (ALA) (mg)",20:5 n-3 (EPA) (mg),22:5 n-3 (DPA) (mg),22:6 n-3 (DHA) (mg),Tryptophan (mg),Threonine (mg),Isoleucine (mg),Leucine (mg),Lysine (mg),Methionine (mg),Cystine (mg),Phenylalanine (mg),Tyrosine (mg),Valine (mg),Arginine (mg),Histidine (mg),Alanine (mg),Aspartic acid (mg),Glutamic acid (mg),Glycine (mg),Proline (mg),Serine (mg),Hydroxyproline (mg),Alcohol (g),Caffeine (mg),Theobromine (mg),Serving Weight 1 (g),Serving Description 1 (g),Serving Weight 2 (g),Serving Description 2 (g),Serving Weight 3 (g),Serving Description 3 (g),Serving Weight 4 (g),Serving Description 4 (g),Serving Weight 5 (g),Serving Description 5 (g),Serving Weight 6 (g),Serving Description 6 (g),Serving Weight 7 (g),Serving Description 7 (g),Serving Weight 8 (g),Serving Description 8 (g),Serving Weight 9 (g),Serving Description 9 (g),200 Calorie Weight (g)
167536,Snacks Beef Jerky Chopped And Formed,Snacks,410,25.6,33.2,11,9,1.8,48,10.85,20,5.42,597,51,0,0,0,0.99,0.3,0.49,NULL,9.2,23.36,185,810,17.129,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,407,1785,8.11,0.227,0.111,10.7,NULL,NULL,NULL,0.154,0.142,1.732,0.163,0.179,NULL,134,0,134,134,109.1,NULL,0,0,0,0,0,NULL,0.3,11,2.3,NULL,NULL,11305,1011,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,28.4,1 oz,20,"1 piece, large",28.4,1 oz,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,48.78
167537,Snacks Corn-Based Extruded Chips Plain,Snacks,539,33.36,6.17,57.27,0.27,4,0,4.331,138,1.2,144,72,69,3,0,0,0,7.23,NULL,53.27,1.07,276,16184,3.475,0.088,NULL,NULL,0.27,0,0,0,0,0,51.36,NULL,194,514,1.29,0.101,0.333,7.6,51.9,NULL,NULL,0.047,0.078,0.842,0.19,0.167,NULL,8,0,8,8,12.1,0.1,0,20,2,0,527,NULL,NULL,0,6.3,16.8,NULL,9134,16438,264,6,0,0,46,246,235,803,185,137,119,322,266,331,326,200,491,456,1230,269,572,312,NULL,0,0,0,28,1 oz,28.4,1 oz,198,1 bag (7 oz),NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,37.106
167538,Snacks Corn-Based Extruded Chips Barbecue-Flavor,Snacks,523,32.7,7,56.2,NULL,5.2,0,4.46,131,1.54,236,77,611,31,1.7,0,NULL,NULL,NULL,51,1.2,1230,14940,2.381,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,207,763,1.06,0.166,0.774,4.1,NULL,NULL,NULL,0.075,0.21,1.645,0.143,0.23,NULL,39,0,39,39,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9480,16170,NULL,NULL,NULL,NULL,63,279,277,747,284,134,119,333,273,357,373,200,475,586,1243,293,521,337,NULL,NULL,NULL,NULL,28.4,1 oz,198,1 bag (7 oz),NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,38.241
167539,Snacks Corn-Based Extruded Cones Plain,Snacks,510,26.9,5.8,62.9,NULL,1.1,0,22.75,3,2.54,81,11,318,16,0,0,NULL,NULL,NULL,61.8,2,10,780,2.433,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44,1022,0.21,0.04,0.087,3.8,NULL,NULL,NULL,0.32,0.24,1.41,0.225,0.04,NULL,3,0,3,3,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1700,780,NULL,NULL,NULL,NULL,41,219,209,715,164,122,105,286,237,295,290,178,437,406,1094,239,508,277,NULL,NULL,NULL,NULL,28.4,1 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,39.216
167540,Snacks Fruit Leather Pieces,Sweets,359,2.68,1,82.82,57.58,0,0,0.65,18,0.75,164,14,58,3,56,0,0,0.56,NULL,82.82,12.3,120,430,-2.685,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24,199,0.19,0.171,0.184,2.7,NULL,NULL,NULL,0.043,0.1,0.1,0.319,0.3,NULL,4,0,4,4,12.9,NULL,0,34,1,0,51,NULL,NULL,0,18.2,NULL,NULL,1480,550,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,28.4,1 oz,27,1 package,21,1 packet (.75 oz),NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,55.71
167541,Snacks Fruit Leather Rolls,Sweets,371,3,0.1,85.8,49.16,0,0,0.672,32,1.01,294,20,57,6,120,0,0,0.56,NULL,85.8,10.2,120,430,-5.949,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31,317,0.19,0.171,0.184,0.4,NULL,NULL,NULL,0.084,0.02,0.1,0.029,0.3,NULL,2,0,2,2,13.2,NULL,0,34,1,0,41,NULL,NULL,0,18.2,NULL,NULL,1480,552,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,21,1 large,14,1 small,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,53.908
167542,Snacks Granola Bars Hard Plain,Snacks,471,19.8,10.1,64.4,28.57,5.3,0,2.37,61,2.95,336,97,33,2,0.9,0,0,2.09,NULL,59.1,3.9,60,11990,4.764,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,277,294,2.03,0.392,1.777,16.2,NULL,NULL,NULL,0.264,0.119,1.581,0.813,0.085,NULL,23,0,23,23,22,6.9,0,17,6,0,189,NULL,NULL,0,14.6,NULL,NULL,4380,12050,NULL,0,0,0,177,264,352,724,400,177,304,479,352,508,674,216,460,830,1975,499,518,470,NULL,0,0,0,21,1 bar,28,1 bar (1 oz),25,1 bar,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,42.463
167543,Snacks Granola Bars Hard Almond,Snacks,495,25.5,7.7,62,NULL,4.8,0,12.51,32,2.5,273,81,37,2,0,0,NULL,NULL,NULL,57.2,3.1,100,3660,3.902,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,228,256,1.58,0.127,1.365,15,NULL,NULL,NULL,0.28,0.07,0.61,0.466,0.047,NULL,12,0,12,12,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7740,3760,NULL,NULL,NULL,NULL,142,221,289,585,313,135,231,390,282,406,596,178,369,698,1679,411,425,374,NULL,NULL,NULL,NULL,28.4,1 oz,24,1 bar,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,40.404
167544,Snacks Granola Bars Soft Uncoated Raisin,Snacks,448,17.8,7.6,66.4,NULL,4.2,0,9.57,101,2.44,362,72,0,0,0,0.18,NULL,NULL,NULL,62.2,6.4,170,3040,1.019,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,220,282,1.3,0.28,1.26,15.7,NULL,NULL,NULL,0.231,0.163,1.101,0.48,0.103,NULL,21,0,21,21,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2840,3210,NULL,NULL,NULL,NULL,108,257,305,565,301,141,173,394,255,411,586,183,385,650,1646,381,414,335,NULL,NULL,NULL,NULL,43,1 bar (1.5 oz),28,1 bar (1 oz),NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,44.643
167545,Snacks Granola Bars Soft Coated Milk Chocolate Coating Chocolate Chip,Snacks,466,24.9,5.8,63.8,NULL,3.4,5,14.22,103,2.33,313,66,39,7,0,0.57,NULL,NULL,NULL,60.4,3.6,110,1710,0.526,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,199,200,1.3,0.35,0.93,NULL,NULL,NULL,NULL,0.09,0.25,0.72,0.51,0.1,NULL,26,0,26,26,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7770,1820,NULL,NULL,NULL,NULL,70,226,270,474,289,114,63,291,244,345,241,105,222,479,1112,177,393,254,NULL,NULL,NULL,NULL,35,1 bar (1.25 oz),28,1 bar (1 oz),NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,42.918
167546,Honey-Combed With Peanut Butter,Sweets,473,20.18,8.72,67.41,62.68,1.9,0,5.735,21,0.71,220,66,0,0,0,0,0,3.57,NULL,65.51,2.54,11,4772,2.506,0.029,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.4,NULL,132,174,1.03,0.169,0.656,2,0,NULL,NULL,0.064,0.085,5.147,0.446,0.173,NULL,34,0,34,34,24.7,0.3,0,0,0,0,0,NULL,NULL,0,0.1,NULL,NULL,8496,4794,NULL,0,0,0,91,206,242,607,267,104,90,472,325,307,1087,219,359,1199,1999,564,553,581,NULL,0,0,0,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,28.4,1 oz,42.283
167547,Snacks Granola Bars Soft Coated Milk Chocolate Coating Peanut Butter,Snacks,508,31.1,10.2,53.4,23.74,2.8,12,17.01,108,1.45,339,67,25,5,0.6,0,0,4.17,NULL,50.6,3.2,70,1830,3.078,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,227,193,1.47,0.323,1.35,13.1,NULL,NULL,NULL,0.1,0.21,3.29,0.53,0.106,NULL,25,0,25,25,24.7,NULL,5,6,0,0,33,NULL,NULL,0,13.2,NULL,NULL,6540,1900,NULL,0,0,0,123,387,456,804,519,173,121,510,431,555,690,228,387,972,2055,405,680,491,NULL,0,6,42,28.4,1 oz,37,1 bar,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,39.37
167548,Snacks Granola Bars Soft Uncoated Peanut Butter And Chocolate Chip,Snacks,432,20,9.8,62.2,NULL,4.2,1,5.59,80,1.94,377,88,12,2,0,0.45,NULL,NULL,NULL,58,5.9,30,4540,3.187,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,262,328,1.7,0.4,1.35,NULL,NULL,NULL,NULL,0.12,0.12,3.15,0.53,0.1,NULL,33,0,33,33,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8360,4610,NULL,NULL,NULL,NULL,101,330,348,641,357,131,137,497,389,433,1046,236,407,1105,1973,551,444,469,NULL,NULL,NULL,NULL,28,1 bar (1 oz),NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,46.296
167549,Snacks Popcorn Oil-Popped Microwave Regular Flavor No Trans Fat,Snacks,583,43.55,7.29,45.06,0.46,8.1,0,6.82,4,1.98,182,79,154,8,0.3,0,0,2.43,NULL,36.96,1.2,853,22339,4.965,NULL,NULL,NULL,0.31,0.07,0.07,0,0,0,34.4,NULL,199,909,3.1,0.162,0.629,2.2,6.3,NULL,NULL,0.134,0.057,1.195,0.23,0.109,NULL,25,0,25,25,12.6,0.3,0,70,46,0,829,NULL,NULL,0,4.1,NULL,NULL,9809,23191,NULL,0,0,0,63,338,323,1103,253,189,163,442,366,455,448,275,674,626,1689,369,785,428,NULL,0,0,0,11,1 cup,28.4,1 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,34.305
167550,Snacks Popcorn Cakes,Snacks,384,3.1,9.7,80.1,0.72,2.9,0,0.48,9,1.87,327,159,72,4,0,0,0,0.29,NULL,77.2,5,40,1310,3.804,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,277,288,3.99,0.569,0.985,9.9,NULL,NULL,NULL,0.075,0.178,6.006,0.434,0.181,NULL,18,0,18,18,22.4,NULL,0,33,21,0,537,NULL,NULL,0,1.1,NULL,NULL,920,1350,NULL,0,0,0,91,363,372,1053,312,210,156,488,387,523,581,280,671,767,1890,431,706,480,NULL,0,0,0,10,1 cake,20,2 cakes,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,52.083
167551,Snacks Popcorn Caramel-Coated With Peanuts,Snacks,400,7.8,6.4,80.7,45.36,3.8,0,1.04,66,3.91,355,80,78,4,0,0,0,0.85,NULL,76.9,3.3,60,3210,-2.618,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,127,177,1.24,0.297,0.764,3.9,NULL,NULL,NULL,0.051,0.126,1.99,0.23,0.185,NULL,16,0,16,16,17.3,NULL,0,35,23,0,580,NULL,NULL,0,3.9,NULL,NULL,2730,3270,NULL,0,0,0,52,231,227,641,199,112,103,320,261,303,489,182,392,572,1250,309,452,308,NULL,0,0,0,28.4,1 oz (approx 2/3 cup),57,2 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,50
167552,Snacks Popcorn Caramel-Coated Without Peanuts,Snacks,431,12.8,3.8,79.1,53.19,5.2,0,3.61,43,1.74,109,35,8,2,0,0.01,0,1.2,NULL,73.9,2.8,400,4070,1.154,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,83,206,0.58,0.119,0.22,3.6,NULL,NULL,NULL,0.065,0.07,2.2,0.082,0.028,NULL,5,0,5,5,23.5,NULL,2,1,0,0,0,NULL,NULL,0,12.5,NULL,NULL,2880,4480,NULL,0,0,0,45,151,157,284,281,73,39,154,109,177,235,109,208,389,658,224,171,156,NULL,0,0,0,28.4,1 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,46.404
167553,Snacks Potato Chips Made From Dried Potatoes Reduced Fat,Snacks,502,26.14,4.56,64.76,0.63,3.2,0,6.759,29,1.11,760,45,0,0,12,0,0,2.18,NULL,61.56,2.22,66,12160,-10.589,0.139,NULL,NULL,0.39,0,0.16,0,0.07,NULL,NULL,NULL,129,450,0.7,0.153,0.361,2.9,NULL,NULL,NULL,0.212,0.015,3.595,0.83,0.412,NULL,27,0,27,27,0,NULL,0,0,0,0,0,NULL,NULL,0,7.2,NULL,NULL,4553,12201,43,19,4,0,44,245,248,369,353,65,73,258,221,329,272,125,202,1134,939,194,204,230,NULL,0,0,0,28.4,1 oz,170,1 can (6 oz),NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,39.841
167554,Snacks Potato Chips Made From Dried Potatoes Sour-Cream And Onion-Flavor,Snacks,547,37,6.6,51.3,NULL,1.2,3,9.47,64,1.4,496,55,755,323,9.5,0,NULL,NULL,NULL,50.1,2,350,18430,-3.257,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,169,541,0.71,0.063,0.405,NULL,NULL,NULL,NULL,0.18,0.1,2.5,0.827,0.476,NULL,23,0,23,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7120,18780,NULL,NULL,NULL,NULL,72,284,313,485,437,102,76,290,254,380,306,148,252,928,1100,206,373,291,NULL,NULL,NULL,NULL,28.4,1 oz,198,1 can (6.75 oz),NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,36.563
167555,Snacks Pretzels Hard Plain Salted,Snacks,384,2.93,10.04,80.39,2.21,3.4,0,0.391,27,4.58,223,29,0,0,2.1,0,0,0.47,NULL,76.99,3.13,63,1228,3.837,0.004,NULL,NULL,NULL,0.69,0.31,NULL,1.11,0,72.58,NULL,128,1240,1.04,0.156,1.015,4.4,NULL,NULL,NULL,0.424,0.332,5.27,0.322,0.074,NULL,166,0,166,166,29.5,50,0,0,0,0,9,NULL,NULL,0,2.8,5.2,NULL,727,1291,63,0,0,0,97,250,407,757,257,177,170,520,324,480,363,220,340,597,3647,417,1199,NULL,NULL,0,0,0,28.4,1 oz,60,10 twists,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,52.083
167556,Snacks Pretzels Hard Confectioners Coating Chocolate-Flavor,Snacks,457,16.7,7.5,70.9,38.8,2.4,0,7.68,74,2,225,41,0,0,0.5,0,0,0.62,NULL,68.5,2.5,160,1990,2.252,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,145,569,0.92,0.302,0.562,14.5,NULL,NULL,NULL,0.099,0.2,0.8,0.759,0.172,NULL,9,0,9,9,39.7,NULL,0,0,0,0,9,NULL,NULL,0,11.1,NULL,NULL,5390,2150,NULL,0,0,0,96,251,287,531,253,131,147,357,234,332,306,163,274,420,2183,268,743,365,NULL,0,8,87,28.4,1 oz,11,1 pretzel,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,43.764
167557,Snacks Rice Cakes Brown Rice Sesame Seed,Snacks,392,3.8,7.6,81.5,NULL,5.4,0,0.54,12,1.58,290,136,0,0,3,0,NULL,NULL,NULL,76.1,5.9,40,1110,7.747,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,375,227,3,0.39,4.299,24.1,NULL,NULL,NULL,0.048,0.085,7.205,1.461,0.155,NULL,18,0,18,18,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1100,1150,NULL,NULL,NULL,NULL,100,279,321,625,288,174,94,391,286,444,595,193,440,710,1550,380,355,394,NULL,NULL,NULL,NULL,9,1 cake,18,2 cakes,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,51.02
167558,Snacks Tortilla Chips Plain White Corn Salted,Snacks,472,20.68,7.1,67.78,0.78,5.4,0,2.811,106,1.52,182,84,4,0,0,0.36,0,3.53,NULL,62.38,2.64,232,10544,4.377,0.812,NULL,NULL,0.78,0,0,0,0,0,62.53,NULL,225,328,1.38,0.097,0.388,4.4,51.9,NULL,NULL,0.14,0.07,0.838,0.297,0.179,NULL,12,0,12,12,19.4,0.4,0,2,0,0,5,NULL,NULL,0,20.9,43.7,NULL,5664,10769,230,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,28.4,1 oz,213,1 bag,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,42.373
167559,Snacks Tortilla Chips Nacho Cheese,Snacks,519,27.42,7.36,60.81,2.59,5.1,0,3.876,137,1.16,223,75,112,6,0.4,0,0,6.24,NULL,55.71,1.66,266,12004,4.472,0.185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,53.2,NULL,252,691,1.38,0.102,0.33,7.4,NULL,NULL,NULL,0.153,0.136,1.29,0.364,0.22,NULL,13,0,13,13,22.5,1.2,0,35,8,33,769,NULL,NULL,0,1.3,0.5,0,9089,12257,262,0,0,0,66,282,296,881,291,163,125,374,318,402,387,238,503,537,1507,286,676,370,0,0,0,0,28.4,1 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,38.536
167560,Snacks Tortilla Chips Ranch-Flavor,Snacks,501,24.63,7.19,62.74,3.03,4,NULL,3.539,134,1.38,259,87,NULL,NULL,0,NULL,NULL,NULL,NULL,58.74,3.14,235,13195,3.352,0.345,NULL,NULL,1.07,0.44,0.34,1.11,0,0.07,54.8,NULL,252,519,1.43,0.101,0.365,7.3,NULL,NULL,NULL,0.048,0.06,1.3,0.6,0.2,NULL,NULL,0,NULL,NULL,18.4,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.4,2.1,0,7047,13528,235,NULL,NULL,NULL,58,285,280,871,246,154,131,358,297,380,385,223,528,542,1463,295,633,351,0,NULL,NULL,NULL,28.4,1 oz,198,1 bag (7 oz),NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,39.92
167561,Snacks Trail Mix Regular,Snacks,462,29.4,13.8,44.9,NULL,NULL,0,5.55,78,3.05,685,158,18,1,1.4,0,NULL,NULL,NULL,44.9,9.2,70,9580,-0.096,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,345,229,3.22,0.985,1.034,NULL,NULL,NULL,NULL,0.462,0.198,4.712,0.895,0.298,NULL,71,0,71,71,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12530,9650,NULL,NULL,NULL,NULL,166,482,515,890,515,202,217,658,457,658,1520,357,587,1523,3023,775,625,650,NULL,NULL,NULL,NULL,150,1 cup,28.4,1 oz,42,1 (1/2) oz,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,43.29
167562,Almond Joy Candy Bar,Sweets,479,26.93,4.13,59.51,48.34,5,4,17.59,64,1.27,254,NULL,42,NULL,0.7,NULL,NULL,NULL,NULL,54.51,8.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,112,142,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5260,1180,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,49,1 package 1.76 oz,19,1 bar snack size,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,41.754
167563,Twizzlers Cherry Bites,Sweets,338,1.7,2.97,79.38,NULL,0.1,0,0.25,12,0.55,14,NULL,0,NULL,0,NULL,NULL,NULL,NULL,79.28,15,NULL,NULL,NULL,0.54,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,47,261,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,490,40,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40,18 pieces,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,59.172
167564,Nestle Bit-O-Honey Candy Chews,Sweets,388,7.5,2,80.89,48,0.2,0,5.5,35,0.2,44,7,0,0,0.8,0.06,0,0.3,NULL,80.69,8.3,2,336,0.449,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28,295,0.49,0.026,0.038,1.3,NULL,NULL,NULL,0.06,0.044,0.069,0.082,0.009,NULL,2,0,2,2,2.5,NULL,0,0,0,0,0,NULL,NULL,0,0,NULL,NULL,1030,338,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,40,1 serving 6 pieces,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,51.546
167565,Nestle Butterfinger Bar,Sweets,459,18.9,5.4,72.9,45.9,2,0,9.5,36,0.79,220,48,0,0,0,0.04,0,1.72,NULL,70.9,1.23,2,3163,-0.137,0.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,97,230,1,0.193,0.49,2.9,NULL,NULL,NULL,0.121,0.062,2.649,0.37,0.069,NULL,28,0,28,28,15,NULL,0,0,0,0,0,NULL,NULL,0,2.2,NULL,NULL,5119,3164,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,36,60,1 serving 2.1 oz bar,18,1 serving 1 fun size bar 0.65 oz,21,1 serving 0.75 oz bar,7,1 bar bite size,108,1 bar king size,26,10 butterfinger bb's,25,2 tbsp,174,1 cup bb's,NULL,NULL,43.573
